permno,adate,qdate,public_date,roe,TICKER
84381,20200930,20200930,20201231,1.429,ROK
84387,20191231,20200930,20201231,0.040,CMT
84761,20200331,20200930,20201231,0.194,TTWO
84769,20191231,20200930,20201231,0.247,APH
84788,20191231,20200930,20201231,0.270,AMZN
85035,20200331,20200930,20201231,0.103,QRVO
85072,20200331,20200930,20201231,-0.029,RL
85257,20191231,20200930,20201231,0.152,AME
85269,20191231,20200930,20201231,-0.000,VLO
85348,20191231,20200930,20201231,,YUM
85459,20191231,20200930,20201231,0.268,CHRW
85621,20191231,20200930,20201231,1.294,MTD
85631,20200131,20201031,20201231,-0.085,ADSK
85663,20191231,20200930,20201231,0.166,URI
85753,20191231,20200930,20201231,,VRSN
85792,20191231,20200930,20201231,0.095,PWR
85913,20191231,20200930,20201231,0.166,MAR
85914,20200131,20201031,20201231,0.500,BBY
85926,20191231,20200930,20201231,,SEE
86136,20191231,20200930,20201231,0.100,SRE
86158,20191231,20200930,20201231,0.135,CTSH
86228,20191231,20200930,20201231,0.126,RSG
86356,20191231,20200930,20201231,0.429,EBAY
86580,20200131,20201031,20201231,0.301,NVDA
86783,20191231,20200930,20201231,0.241,BKNG
86868,20191231,20200930,20201231,0.086,GS
86964,20200930,20200930,20201231,0.154,FFIV
86979,20191231,20200930,20201231,0.087,JNPR
87055,20200831,20200831,20201231,0.230,COST
87137,20191231,20200930,20201231,-0.484,DVN
87267,20191231,20200930,20201231,0.128,BLK
87299,20191231,20200930,20201231,0.152,AKAM
87432,20201031,20201031,20201231,0.149,A
87445,20191231,20200930,20201231,0.141,TDY
87447,20191231,20200930,20201231,0.773,UPS
87541,20191231,20200930,20201231,0.138,PKG
87657,20191231,20200930,20201231,0.201,EW
87717,20191231,20200930,20201231,0.295,EXPD
87842,20191231,20200930,20201231,0.073,MET
88031,20191231,20200930,20201231,0.291,MNST
88352,20191231,20200930,20201231,0.127,ISRG
88446,20191231,20200930,20201231,0.140,ILMN
88661,20200630,20200930,20201231,-0.146,TPR
88664,20200630,20200930,20201231,0.172,JKHY
88860,20191231,20200930,20201231,0.833,ALGN
88873,20191231,20200930,20201231,0.016,GPN
89003,20191231,20200930,20201231,-0.002,FIS
89006,20191231,20200930,20201231,0.105,MDLZ
89070,20191231,20200930,20201231,-0.012,ZBH
89179,20191231,20200930,20201231,0.143,ANTM
89195,20191231,20200930,20201231,0.076,PFG
89217,20191231,20200930,20201231,0.122,AAP
89258,20191231,20200930,20201231,-0.001,PRU
89269,20191231,20200930,20201231,0.110,CNC
89393,20191231,20200930,20201231,0.349,NFLX
89508,20200229,20200831,20201231,0.188,KMX
89525,20191231,20200930,20201231,0.094,CMCSA
89533,20191231,20200930,20201231,-1.355,WYNN
89626,20191231,20200930,20201231,0.067,CME
89866,20191231,20200930,20201231,0.113,LKQ
90038,20191231,20200930,20201231,0.076,AIZ
90071,20191231,20200930,20201231,0.569,NRG
90199,20191231,20200930,20201231,0.177,CBRE
90215,20200131,20201031,20201231,0.102,CRM
90248,20191231,20200930,20201231,,DPZ
90319,20191231,20200930,20201231,0.175,GOOGL
90386,20191231,20200930,20201231,-0.107,MOS
90454,20191231,20200930,20201231,0.355,MKTX
90455,20191231,20200930,20201231,0.194,MPWR
90505,20191231,20200930,20201231,-0.156,LVS
90520,20191231,20200930,20201231,0.209,CE
90601,20191231,20200930,20201231,0.151,NDAQ
90664,20191231,20200930,20201231,0.235,DXCM
90805,20191231,20200930,20201231,0.126,DISCA
90808,20191231,20200930,20201231,-0.694,EXPE
90829,20191231,20200930,20201231,0.070,CF
90880,20191231,20200930,20201231,0.292,AMP
90979,20191231,20200930,20201231,-0.412,UAA
90993,20191231,20200930,20201231,0.104,ICE
91041,20191231,20200930,20201231,-1.359,LYV
91068,20191231,20200930,20201231,0.138,CMG
91103,20191231,20200930,20201231,-0.392,UAL
91152,20200930,20200930,20201231,,TDG
91233,20191231,20200930,20201231,1.167,MA
91416,20191231,20200930,20201231,0.390,HBI
91461,20191231,20200930,20201231,,WU
91547,20191231,20200930,20201231,0.171,LDOS
91556,20200131,20201031,20201231,0.094,ROST
91668,20191231,20200930,20201231,0.044,IPGP
91849,20200630,20200930,20201231,0.360,BR
91926,20191231,20200930,20201231,-0.725,DAL
91937,20191231,20200930,20201231,0.063,TMUS
92121,20191231,20200930,20201231,0.105,DFS
92322,20200131,20201031,20201231,0.119,ULTA
92402,20191231,20200930,20201231,,MSCI
92602,20191231,20200930,20201231,,PM
92611,20200930,20200930,20201231,0.309,V
92614,20191231,20200930,20201231,0.081,AWK
92655,20191231,20200930,20201231,0.273,UNH
93002,20201031,20201031,20201231,0.136,AVGO
93089,20191231,20200930,20201231,0.269,VRSK
93096,20200131,20201031,20201231,0.333,DG
93132,20191231,20200930,20201231,0.510,FTNT
93246,20191231,20200930,20201231,0.264,GNRC
93429,20191231,20200930,20201231,0.126,CBOE
93436,20191231,20200930,20201231,0.070,TSLA
